age,gender,driving_experience,vehicle_age,vehicle_type,annual_mileage,credit_score,previous_claims,traffic_violations,coverage_type,deductible,claim_filed,premium
56,Male,31,1,Sedan,11785,799,0,1,Standard,5000,0,1617.562576964813
69,Female,11,12,Sedan,13998,774,0,0,Basic,2000,0,1898.8126496214861
46,Female,47,8,Hatchback,28550,823,0,1,Basic,500,1,2664.3987434843875
32,Female,41,6,Truck,9655,356,0,0,Premium,1000,0,1888.2628029928921
60,Female,26,15,Sports Car,23458,532,0,0,Premium,1000,1,2665.905414010575
25,Female,9,18,Hatchback,11918,329,0,0,Basic,2000,1,1995.8186972466897
78,Female,45,6,Sports Car,8436,666,0,0,Basic,500,1,2205.869282265244
38,Female,41,5,Sedan,26432,355,0,1,Standard,1000,1,2861.3318001675275
56,Female,31,17,Truck,29873,309,1,1,Basic,500,0,2952.098584400944
75,Female,41,18,Sports Car,9872,446,0,0,Standard,1000,0,2296.5594781143996
36,Female,25,10,Hatchback,5360,663,0,0,Standard,5000,0,1552.6043130265627
40,Female,24,11,Sedan,16909,552,1,0,Basic,5000,0,2408.197413720112
28,Female,10,9,Sports Car,9599,552,1,0,Basic,2000,1,2734.180872256047
28,Female,22,12,Truck,15168,742,0,0,Premium,5000,0,2142.4882073487684
41,Female,33,11,SUV,11731,639,0,0,Basic,500,0,1750.282020601777
70,Female,39,9,SUV,7077,815,0,1,Basic,1000,0,1501.9894218183097
53,Female,22,19,Hatchback,18750,652,0,0,Standard,1000,0,1838.9657453027291
57,Male,28,17,SUV,23557,622,0,0,Basic,1000,0,2764.8995162338815
41,Female,30,3,Sports Car,9691,439,0,0,Standard,1000,1,2453.2023695651324
20,Male,6,4,Hatchback,22773,744,0,0,Basic,2000,0,2168.9560601104363
39,Female,39,4,Sedan,29346,394,0,1,Premium,1000,1,3134.3834760087384
70,Female,32,11,Hatchback,27355,719,1,0,Basic,2000,0,2489.34130722528
19,Male,20,2,Truck,8514,813,1,0,Basic,2000,0,1542.4586781726646
41,Female,1,7,SUV,29838,449,0,0,Standard,500,1,2852.594732729978
61,Male,17,1,SUV,7919,650,0,0,Premium,500,0,2032.3319218263277
47,Male,46,17,Hatchback,21385,415,0,0,Standard,2000,0,2408.3543642334453
55,Male,32,8,Sedan,23317,536,1,0,Basic,1000,0,2646.570895387893
19,Female,36,12,SUV,5393,569,0,0,Standard,2000,0,1794.9192619825399
77,Female,33,6,SUV,29881,590,0,0,Standard,500,1,2987.1797008918757
38,Female,19,9,Sedan,18457,733,2,0,Standard,2000,0,2152.9145276851464
50,Male,34,8,SUV,5529,308,0,0,Standard,2000,0,1993.536734371356
